[2015-10-01 10:29:08,818][INFO ][node                     ] [Volcana] version[1.6.0], pid[87273], build[cdd3ac4/2015-06-09T13:36:34Z]
[2015-10-01 10:29:08,820][INFO ][node                     ] [Volcana] initializing ...
[2015-10-01 10:29:08,825][INFO ][plugins                  ] [Volcana] loaded [], sites []
[2015-10-01 10:29:08,883][INFO ][env                      ] [Volcana] using [1] data paths, mounts [[/ (/dev/disk1)]], net usable_space [10.8gb], net total_space [464.7gb], types [hfs]
[2015-10-01 10:29:11,726][INFO ][node                     ] [Volcana] initialized
[2015-10-01 10:29:11,727][INFO ][node                     ] [Volcana] starting ...
[2015-10-01 10:29:11,849][INFO ][transport                ] [Volcana] bound_address {inet[/0:0:0:0:0:0:0:0:9300]}, publish_address {inet[/10.28.5.135:9300]}
[2015-10-01 10:29:11,881][INFO ][discovery                ] [Volcana] elasticsearch/SsZ4ZYPUSqa5E_sfRm2-pA
[2015-10-01 10:29:15,662][INFO ][cluster.service          ] [Volcana] new_master [Volcana][SsZ4ZYPUSqa5E_sfRm2-pA][vdu135.ibcos.co.uk][inet[/10.28.5.135:9300]], reason: zen-disco-join (elected_as_master)
[2015-10-01 10:29:15,706][INFO ][http                     ] [Volcana] bound_address {inet[/0:0:0:0:0:0:0:0:9200]}, publish_address {inet[/10.28.5.135:9200]}
[2015-10-01 10:29:15,706][INFO ][node                     ] [Volcana] started
[2015-10-01 10:29:15,743][INFO ][gateway                  ] [Volcana] recovered [7] indices into cluster_state
[2015-10-01 10:29:20,717][INFO ][cluster.service          ] [Volcana] added {[logstash-vdu135.ibcos.co.uk-87390-11624][e2Zu4rKoT323tr2M8QXAew][vdu135.ibcos.co.uk][inet[/10.28.5.135:9301]]{client=true, data=false},}, reason: zen-disco-receive(join from node[[logstash-vdu135.ibcos.co.uk-87390-11624][e2Zu4rKoT323tr2M8QXAew][vdu135.ibcos.co.uk][inet[/10.28.5.135:9301]]{client=true, data=false}])
[2015-10-01 10:29:45,679][WARN ][cluster.routing.allocation.decider] [Volcana] high disk watermark [90%] exceeded on [SsZ4ZYPUSqa5E_sfRm2-pA][Volcana] free: 10.8gb[2.3%], shards will be relocated away from this node
[2015-10-01 10:29:45,679][INFO ][cluster.routing.allocation.decider] [Volcana] high disk watermark exceeded on one or more nodes, rerouting shards
[2015-10-01 10:30:15,685][WARN ][cluster.routing.allocation.decider] [Volcana] high disk watermark [90%] exceeded on [SsZ4ZYPUSqa5E_sfRm2-pA][Volcana] free: 10.8gb[2.3%], shards will be relocated away from this node
[2015-10-01 10:30:45,680][WARN ][cluster.routing.allocation.decider] [Volcana] high disk watermark [90%] exceeded on [SsZ4ZYPUSqa5E_sfRm2-pA][Volcana] free: 10.8gb[2.3%], shards will be relocated away from this node
[2015-10-01 10:30:45,681][INFO ][cluster.routing.allocation.decider] [Volcana] high disk watermark exceeded on one or more nodes, rerouting shards
[2015-10-01 10:31:15,682][WARN ][cluster.routing.allocation.decider] [Volcana] high disk watermark [90%] exceeded on [SsZ4ZYPUSqa5E_sfRm2-pA][Volcana] free: 10.8gb[2.3%], shards will be relocated away from this node
[2015-10-01 10:31:45,683][WARN ][cluster.routing.allocation.decider] [Volcana] high disk watermark [90%] exceeded on [SsZ4ZYPUSqa5E_sfRm2-pA][Volcana] free: 10.8gb[2.3%], shards will be relocated away from this node
[2015-10-01 10:31:45,684][INFO ][cluster.routing.allocation.decider] [Volcana] high disk watermark exceeded on one or more nodes, rerouting shards
[2015-10-01 10:32:15,691][WARN ][cluster.routing.allocation.decider] [Volcana] high disk watermark [90%] exceeded on [SsZ4ZYPUSqa5E_sfRm2-pA][Volcana] free: 10.8gb[2.3%], shards will be relocated away from this node
[2015-10-01 10:32:45,691][WARN ][cluster.routing.allocation.decider] [Volcana] high disk watermark [90%] exceeded on [SsZ4ZYPUSqa5E_sfRm2-pA][Volcana] free: 10.8gb[2.3%], shards will be relocated away from this node
[2015-10-01 10:32:45,691][INFO ][cluster.routing.allocation.decider] [Volcana] high disk watermark exceeded on one or more nodes, rerouting shards
[2015-10-01 10:33:15,694][WARN ][cluster.routing.allocation.decider] [Volcana] high disk watermark [90%] exceeded on [SsZ4ZYPUSqa5E_sfRm2-pA][Volcana] free: 10.8gb[2.3%], shards will be relocated away from this node
[2015-10-01 10:33:45,700][WARN ][cluster.routing.allocation.decider] [Volcana] high disk watermark [90%] exceeded on [SsZ4ZYPUSqa5E_sfRm2-pA][Volcana] free: 10.8gb[2.3%], shards will be relocated away from this node
[2015-10-01 10:33:45,700][INFO ][cluster.routing.allocation.decider] [Volcana] high disk watermark exceeded on one or more nodes, rerouting shards
[2015-10-01 10:34:15,704][WARN ][cluster.routing.allocation.decider] [Volcana] high disk watermark [90%] exceeded on [SsZ4ZYPUSqa5E_sfRm2-pA][Volcana] free: 10.8gb[2.3%], shards will be relocated away from this node
[2015-10-01 10:34:45,704][WARN ][cluster.routing.allocation.decider] [Volcana] high disk watermark [90%] exceeded on [SsZ4ZYPUSqa5E_sfRm2-pA][Volcana] free: 10.8gb[2.3%], shards will be relocated away from this node
[2015-10-01 10:34:45,705][INFO ][cluster.routing.allocation.decider] [Volcana] high disk watermark exceeded on one or more nodes, rerouting shards
[2015-10-01 10:35:15,705][WARN ][cluster.routing.allocation.decider] [Volcana] high disk watermark [90%] exceeded on [SsZ4ZYPUSqa5E_sfRm2-pA][Volcana] free: 10.8gb[2.3%], shards will be relocated away from this node
[2015-10-01 10:35:45,705][WARN ][cluster.routing.allocation.decider] [Volcana] high disk watermark [90%] exceeded on [SsZ4ZYPUSqa5E_sfRm2-pA][Volcana] free: 10.8gb[2.3%], shards will be relocated away from this node
[2015-10-01 10:35:45,706][INFO ][cluster.routing.allocation.decider] [Volcana] high disk watermark exceeded on one or more nodes, rerouting shards
[2015-10-01 10:36:15,711][WARN ][cluster.routing.allocation.decider] [Volcana] high disk watermark [90%] exceeded on [SsZ4ZYPUSqa5E_sfRm2-pA][Volcana] free: 10.8gb[2.3%], shards will be relocated away from this node
[2015-10-01 10:36:45,711][WARN ][cluster.routing.allocation.decider] [Volcana] high disk watermark [90%] exceeded on [SsZ4ZYPUSqa5E_sfRm2-pA][Volcana] free: 10.8gb[2.3%], shards will be relocated away from this node
[2015-10-01 10:36:45,711][INFO ][cluster.routing.allocation.decider] [Volcana] high disk watermark exceeded on one or more nodes, rerouting shards
[2015-10-01 10:37:15,717][WARN ][cluster.routing.allocation.decider] [Volcana] high disk watermark [90%] exceeded on [SsZ4ZYPUSqa5E_sfRm2-pA][Volcana] free: 10.8gb[2.3%], shards will be relocated away from this node
[2015-10-01 10:37:45,719][WARN ][cluster.routing.allocation.decider] [Volcana] high disk watermark [90%] exceeded on [SsZ4ZYPUSqa5E_sfRm2-pA][Volcana] free: 10.8gb[2.3%], shards will be relocated away from this node
[2015-10-01 10:37:45,719][INFO ][cluster.routing.allocation.decider] [Volcana] high disk watermark exceeded on one or more nodes, rerouting shards
[2015-10-01 10:38:15,719][WARN ][cluster.routing.allocation.decider] [Volcana] high disk watermark [90%] exceeded on [SsZ4ZYPUSqa5E_sfRm2-pA][Volcana] free: 10.8gb[2.3%], shards will be relocated away from this node
[2015-10-01 10:38:45,724][WARN ][cluster.routing.allocation.decider] [Volcana] high disk watermark [90%] exceeded on [SsZ4ZYPUSqa5E_sfRm2-pA][Volcana] free: 10.8gb[2.3%], shards will be relocated away from this node
[2015-10-01 10:38:45,725][INFO ][cluster.routing.allocation.decider] [Volcana] high disk watermark exceeded on one or more nodes, rerouting shards
[2015-10-01 10:39:15,726][WARN ][cluster.routing.allocation.decider] [Volcana] high disk watermark [90%] exceeded on [SsZ4ZYPUSqa5E_sfRm2-pA][Volcana] free: 10.8gb[2.3%], shards will be relocated away from this node
[2015-10-01 10:39:45,730][WARN ][cluster.routing.allocation.decider] [Volcana] high disk watermark [90%] exceeded on [SsZ4ZYPUSqa5E_sfRm2-pA][Volcana] free: 10.8gb[2.3%], shards will be relocated away from this node
[2015-10-01 10:39:45,730][INFO ][cluster.routing.allocation.decider] [Volcana] high disk watermark exceeded on one or more nodes, rerouting shards
[2015-10-01 10:40:15,730][WARN ][cluster.routing.allocation.decider] [Volcana] high disk watermark [90%] exceeded on [SsZ4ZYPUSqa5E_sfRm2-pA][Volcana] free: 10.8gb[2.3%], shards will be relocated away from this node
[2015-10-01 10:40:45,729][WARN ][cluster.routing.allocation.decider] [Volcana] high disk watermark [90%] exceeded on [SsZ4ZYPUSqa5E_sfRm2-pA][Volcana] free: 10.8gb[2.3%], shards will be relocated away from this node
[2015-10-01 10:41:15,735][WARN ][cluster.routing.allocation.decider] [Volcana] high disk watermark [90%] exceeded on [SsZ4ZYPUSqa5E_sfRm2-pA][Volcana] free: 10.8gb[2.3%], shards will be relocated away from this node
[2015-10-01 10:41:15,736][INFO ][cluster.routing.allocation.decider] [Volcana] high disk watermark exceeded on one or more nodes, rerouting shards
[2015-10-01 10:41:45,738][WARN ][cluster.routing.allocation.decider] [Volcana] high disk watermark [90%] exceeded on [SsZ4ZYPUSqa5E_sfRm2-pA][Volcana] free: 10.8gb[2.3%], shards will be relocated away from this node
[2015-10-01 10:42:15,746][WARN ][cluster.routing.allocation.decider] [Volcana] high disk watermark [90%] exceeded on [SsZ4ZYPUSqa5E_sfRm2-pA][Volcana] free: 10.8gb[2.3%], shards will be relocated away from this node
[2015-10-01 10:42:15,747][INFO ][cluster.routing.allocation.decider] [Volcana] high disk watermark exceeded on one or more nodes, rerouting shards
[2015-10-01 10:42:45,750][WARN ][cluster.routing.allocation.decider] [Volcana] high disk watermark [90%] exceeded on [SsZ4ZYPUSqa5E_sfRm2-pA][Volcana] free: 10.8gb[2.3%], shards will be relocated away from this node
